FTIR Spectrum of Ammonia Molecule,
Wavenumber (cm-1),% of Transmittance
417.29,9.56E+01
417.35,9.64E+01
417.41,9.69E+01
417.47,9.70E+01
417.53,9.61E+01
417.59,9.41E+01
417.65,9.10E+01
417.71,8.76E+01
417.77,8.45E+01
417.83,8.23E+01
417.89,8.12E+01
417.95,8.09E+01
418.01,8.13E+01
418.07,8.23E+01
418.13,8.36E+01
418.19,8.54E+01
418.25,8.74E+01
418.31,8.94E+01
418.37,9.08E+01
418.43,9.06E+01
418.49,8.80E+01
418.56,8.39E+01
418.62,7.99E+01
418.68,7.71E+01
418.74,7.58E+01
418.8,7.56E+01
418.86,7.64E+01
418.92,7.80E+01
418.98,8.01E+01
419.04,8.21E+01
419.1,8.34E+01
419.16,8.35E+01
419.22,8.25E+01
419.28,8.10E+01
419.34,7.94E+01
419.4,7.79E+01
419.46,7.67E+01
419.52,7.61E+01
419.58,7.61E+01
419.64,7.70E+01
419.7,7.90E+01
419.76,8.21E+01
419.82,8.56E+01
419.88,8.84E+01
419.94,8.97E+01
420,9.00E+01
420.06,8.99E+01
420.12,9.00E+01
420.18,9.03E+01
420.24,9.08E+01
420.3,9.14E+01
420.36,9.21E+01
420.42,9.27E+01
420.48,9.34E+01
420.54,9.40E+01
420.6,9.46E+01
420.66,9.50E+01
420.72,9.52E+01
420.79,9.54E+01
420.85,9.56E+01
420.91,9.58E+01
420.97,9.63E+01
421.03,9.70E+01
421.09,9.80E+01
421.15,9.91E+01
421.21,1.00E+02
421.27,1.00E+02
421.33,1.00E+02
421.39,9.98E+01
421.45,9.87E+01
421.51,9.74E+01
421.57,9.62E+01
421.63,9.54E+01
421.69,9.49E+01
421.75,9.49E+01
421.81,9.52E+01
421.87,9.56E+01
421.93,9.61E+01
421.99,9.66E+01
422.05,9.69E+01
422.11,9.72E+01
422.17,9.74E+01
422.23,9.75E+01
422.29,9.75E+01
422.35,9.72E+01
422.41,9.67E+01
422.47,9.60E+01
422.53,9.50E+01
422.59,9.40E+01
422.65,9.29E+01
