FTIR Spectrum of Ammonia Molecule,
Wavenumber (cm-1),% of Transmittance
1076.31,6.92E+01
1076.37,7.55E+01
1076.43,8.09E+01
1076.49,8.51E+01
1076.55,8.81E+01
1076.61,9.03E+01
1076.67,9.18E+01
1076.73,9.29E+01
1076.79,9.37E+01
1076.85,9.43E+01
1076.91,9.49E+01
1076.97,9.53E+01
1077.03,9.57E+01
1077.09,9.60E+01
1077.16,9.62E+01
1077.22,9.65E+01
1077.28,9.67E+01
1077.34,9.69E+01
1077.4,9.71E+01
1077.46,9.73E+01
1077.52,9.74E+01
1077.58,9.75E+01
1077.64,9.76E+01
1077.7,9.77E+01
1077.76,9.78E+01
1077.82,9.79E+01
1077.88,9.80E+01
1077.94,9.81E+01
1078,9.81E+01
1078.06,9.80E+01
1078.12,9.80E+01
1078.18,9.80E+01
1078.24,9.81E+01
1078.3,9.81E+01
1078.36,9.81E+01
1078.42,9.82E+01
1078.48,9.82E+01
1078.54,9.81E+01
1078.6,9.81E+01
1078.66,9.82E+01
1078.72,9.82E+01
1078.78,9.82E+01
1078.84,9.81E+01
1078.9,9.80E+01
1078.96,9.78E+01
1079.02,9.76E+01
1079.08,9.73E+01
1079.14,9.71E+01
1079.2,9.70E+01
1079.26,9.70E+01
1079.32,9.71E+01
1079.38,9.72E+01
1079.45,9.74E+01
1079.51,9.76E+01
1079.57,9.78E+01
1079.63,9.80E+01
1079.69,9.82E+01
1079.75,9.84E+01
1079.81,9.85E+01
1079.87,9.86E+01
1079.93,9.86E+01
1079.99,9.85E+01
1080.05,9.85E+01
1080.11,9.85E+01
1080.17,9.84E+01
1080.23,9.84E+01
1080.29,9.84E+01
1080.35,9.83E+01
1080.41,9.83E+01
1080.47,9.82E+01
1080.53,9.81E+01
1080.59,9.80E+01
1080.65,9.80E+01
1080.71,9.80E+01
1080.77,9.81E+01
1080.83,9.81E+01
1080.89,9.81E+01
1080.95,9.82E+01
1081.01,9.82E+01
1081.07,9.82E+01
1081.13,9.82E+01
1081.19,9.82E+01
1081.25,9.82E+01
1081.31,9.82E+01
1081.37,9.82E+01
1081.43,9.81E+01
1081.49,9.81E+01
1081.55,9.81E+01
1081.61,9.81E+01
1081.68,9.81E+01
1081.74,9.81E+01
1081.8,9.80E+01
1081.86,9.80E+01
1081.92,9.79E+01
1081.98,9.78E+01
1082.04,9.77E+01
1082.1,9.76E+01
1082.16,9.75E+01
1082.22,9.74E+01
1082.28,9.73E+01
1082.34,9.71E+01
1082.4,9.70E+01
1082.46,9.68E+01
1082.52,9.67E+01
1082.58,9.65E+01
1082.64,9.64E+01
1082.7,9.63E+01
1082.76,9.61E+01
1082.82,9.59E+01
1082.88,9.56E+01
1082.94,9.53E+01
1083,9.49E+01
1083.06,9.46E+01
1083.12,9.41E+01
1083.18,9.36E+01
1083.24,9.30E+01
1083.3,9.23E+01
1083.36,9.16E+01
1083.42,9.07E+01
1083.48,8.97E+01
1083.54,8.86E+01
1083.6,8.73E+01
1083.66,8.58E+01
1083.72,8.39E+01
1083.78,8.16E+01
1083.84,7.88E+01
1083.9,7.54E+01
1083.97,7.12E+01
1084.03,6.63E+01
1084.09,6.05E+01
1084.15,5.40E+01
1084.21,4.70E+01
1084.27,3.97E+01
1084.33,3.25E+01
1084.39,2.61E+01
1084.45,2.09E+01
1084.51,1.73E+01
1084.57,1.58E+01
1084.63,1.65E+01
1084.69,1.92E+01
1084.75,2.38E+01
1084.81,2.99E+01
1084.87,3.70E+01
1084.93,4.46E+01
1084.99,5.20E+01
1085.05,5.91E+01
1085.11,6.53E+01
1085.17,7.06E+01
1085.23,7.49E+01
1085.29,7.84E+01
1085.35,8.11E+01
1085.41,8.33E+01
1085.47,8.49E+01
1085.53,8.63E+01
1085.59,8.73E+01
1085.65,8.81E+01
1085.71,8.86E+01
1085.77,8.88E+01
1085.83,8.88E+01
1085.89,8.85E+01
1085.95,8.79E+01
1086.01,8.71E+01
1086.07,8.62E+01
1086.13,8.52E+01
1086.2,8.45E+01
1086.26,8.41E+01
1086.32,8.42E+01
1086.38,8.49E+01
1086.44,8.61E+01
1086.5,8.77E+01
1086.56,8.94E+01
1086.62,9.11E+01
1086.68,9.25E+01
1086.74,9.37E+01
1086.8,9.46E+01
1086.86,9.52E+01
1086.92,9.58E+01
1086.98,9.62E+01
1087.04,9.65E+01
1087.1,9.68E+01
1087.16,9.70E+01
1087.22,9.71E+01
1087.28,9.72E+01
1087.34,9.73E+01
1087.4,9.73E+01
1087.46,9.74E+01
1087.52,9.75E+01
1087.58,9.76E+01
1087.64,9.76E+01
1087.7,9.76E+01
1087.76,9.76E+01
1087.82,9.76E+01
1087.88,9.77E+01
1087.94,9.77E+01
1088,9.78E+01
1088.06,9.77E+01
1088.12,9.76E+01
1088.18,9.74E+01
1088.24,9.72E+01
1088.3,9.70E+01
1088.36,9.67E+01
1088.42,9.64E+01
1088.49,9.61E+01
1088.55,9.57E+01
1088.61,9.52E+01
1088.67,9.45E+01
1088.73,9.37E+01
1088.79,9.26E+01
1088.85,9.13E+01
1088.91,8.94E+01
1088.97,8.70E+01
1089.03,8.39E+01
1089.09,8.04E+01
1089.15,7.67E+01
1089.21,7.32E+01
1089.27,7.06E+01
1089.33,6.91E+01
1089.39,6.91E+01
1089.45,7.05E+01
1089.51,7.32E+01
1089.57,7.67E+01
1089.63,8.06E+01
1089.69,8.44E+01
1089.75,8.78E+01
1089.81,9.06E+01
1089.87,9.27E+01
1089.93,9.43E+01
1089.99,9.53E+01
1090.05,9.60E+01
1090.11,9.65E+01
1090.17,9.68E+01
1090.23,9.70E+01
1090.29,9.72E+01
1090.35,9.73E+01
1090.41,9.75E+01
1090.47,9.75E+01
1090.53,9.76E+01
1090.59,9.75E+01
1090.65,9.75E+01
1090.72,9.75E+01
1090.78,9.74E+01
1090.84,9.74E+01
1090.9,9.73E+01
1090.96,9.72E+01
1091.02,9.70E+01
1091.08,9.67E+01
1091.14,9.62E+01
1091.2,9.57E+01
1091.26,9.49E+01
1091.32,9.39E+01
1091.38,9.24E+01
1091.44,9.06E+01
1091.5,8.84E+01
1091.56,8.59E+01
1091.62,8.35E+01
1091.68,8.14E+01
1091.74,8.00E+01
1091.8,7.95E+01
1091.86,8.00E+01
1091.92,8.14E+01
1091.98,8.36E+01
1092.04,8.61E+01
1092.1,8.86E+01
1092.16,9.10E+01
1092.22,9.30E+01
1092.28,9.45E+01
1092.34,9.56E+01
1092.4,9.62E+01
1092.46,9.67E+01
1092.52,9.69E+01
1092.58,9.70E+01
1092.64,9.72E+01
1092.7,9.72E+01
1092.76,9.73E+01
1092.82,9.73E+01
1092.88,9.72E+01
1092.94,9.71E+01
1093.01,9.68E+01
1093.07,9.63E+01
1093.13,9.57E+01
1093.19,9.48E+01
1093.25,9.36E+01
1093.31,9.19E+01
1093.37,8.97E+01
1093.43,8.71E+01
1093.49,8.43E+01
1093.55,8.17E+01
1093.61,7.97E+01
1093.67,7.85E+01
1093.73,7.84E+01
1093.79,7.94E+01
1093.85,8.12E+01
1093.91,8.37E+01
1093.97,8.64E+01
1094.03,8.89E+01
1094.09,9.11E+01
1094.15,9.28E+01
1094.21,9.39E+01
1094.27,9.45E+01
1094.33,9.47E+01
1094.39,9.46E+01
1094.45,9.41E+01
1094.51,9.33E+01
1094.57,9.20E+01
1094.63,9.02E+01
1094.69,8.77E+01
1094.75,8.45E+01
1094.81,8.05E+01
1094.87,7.60E+01
1094.93,7.15E+01
1094.99,6.75E+01
1095.05,6.47E+01
1095.11,6.35E+01
1095.17,6.41E+01
1095.24,6.65E+01
1095.3,7.01E+01
1095.36,7.44E+01
1095.42,7.88E+01
1095.48,8.27E+01
1095.54,8.57E+01
1095.6,8.76E+01
1095.66,8.82E+01
1095.72,8.77E+01
1095.78,8.63E+01
1095.84,8.42E+01
1095.9,8.17E+01
1095.96,7.91E+01
1096.02,7.70E+01
1096.08,7.55E+01
1096.14,7.49E+01
1096.2,7.51E+01
1096.26,7.58E+01
1096.32,7.66E+01
1096.38,7.71E+01
1096.44,7.71E+01
1096.5,7.67E+01
1096.56,7.60E+01
1096.62,7.56E+01
1096.68,7.58E+01
1096.74,7.70E+01
1096.8,7.91E+01
1096.86,8.20E+01
1096.92,8.52E+01
1096.98,8.84E+01
1097.04,9.12E+01
1097.1,9.34E+01
1097.16,9.50E+01
1097.22,9.61E+01
1097.28,9.68E+01
1097.34,9.72E+01
1097.4,9.75E+01
1097.47,9.77E+01
1097.53,9.78E+01
1097.59,9.78E+01
1097.65,9.78E+01
1097.71,9.78E+01
1097.77,9.78E+01
1097.83,9.78E+01
1097.89,9.78E+01
1097.95,9.78E+01
1098.01,9.78E+01
1098.07,9.78E+01
1098.13,9.78E+01
1098.19,9.78E+01
1098.25,9.80E+01
1098.31,9.81E+01
1098.37,9.83E+01
1098.43,9.84E+01
1098.49,9.84E+01
1098.55,9.85E+01
1098.61,9.85E+01
1098.67,9.85E+01
1098.73,9.86E+01
1098.79,9.86E+01
1098.85,9.87E+01
1098.91,9.88E+01
1098.97,9.88E+01
1099.03,9.88E+01
1099.09,9.88E+01
1099.15,9.88E+01
1099.21,9.88E+01
1099.27,9.88E+01
1099.33,9.87E+01
1099.39,9.86E+01
1099.45,9.85E+01
1099.51,9.84E+01
1099.57,9.82E+01
1099.63,9.81E+01
1099.69,9.81E+01
1099.76,9.81E+01
1099.82,9.82E+01
1099.88,9.83E+01
1099.94,9.83E+01
1100,9.84E+01
1100.06,9.84E+01
1100.12,9.85E+01
1100.18,9.85E+01
1100.24,9.85E+01
1100.3,9.85E+01
1100.36,9.85E+01
1100.42,9.85E+01
1100.48,9.84E+01
1100.54,9.84E+01
1100.6,9.84E+01
1100.66,9.84E+01
1100.72,9.84E+01
1100.78,9.84E+01
1100.84,9.84E+01
1100.9,9.84E+01
1100.96,9.83E+01
1101.02,9.83E+01
1101.08,9.82E+01
1101.14,9.82E+01
1101.2,9.81E+01
1101.26,9.80E+01
1101.32,9.78E+01
1101.38,9.77E+01
1101.44,9.76E+01
1101.5,9.74E+01
1101.56,9.73E+01
1101.62,9.72E+01
1101.68,9.71E+01
1101.74,9.70E+01
1101.8,9.68E+01
1101.86,9.66E+01
1101.92,9.64E+01
1101.99,9.61E+01
1102.05,9.58E+01
1102.11,9.55E+01
1102.17,9.51E+01
1102.23,9.46E+01
1102.29,9.40E+01
1102.35,9.33E+01
1102.41,9.25E+01
1102.47,9.15E+01
1102.53,9.03E+01
1102.59,8.89E+01
1102.65,8.72E+01
1102.71,8.50E+01
1102.77,8.22E+01
1102.83,7.87E+01
1102.89,7.43E+01
1102.95,6.90E+01
1103.01,6.28E+01
1103.07,5.59E+01
1103.13,4.84E+01
1103.19,4.09E+01
1103.25,3.40E+01
1103.31,2.83E+01
1103.37,2.46E+01
1103.43,2.33E+01
1103.49,2.45E+01
1103.55,2.82E+01
1103.61,3.38E+01
1103.67,4.08E+01
1103.73,4.84E+01
1103.79,5.59E+01
1103.85,6.28E+01
1103.91,6.87E+01
1103.97,7.33E+01
1104.03,7.68E+01
1104.09,7.92E+01
1104.15,8.09E+01
1104.21,8.22E+01
1104.28,8.32E+01
1104.34,8.43E+01
1104.4,8.54E+01
1104.46,8.68E+01
1104.52,8.83E+01
1104.58,8.98E+01
1104.64,9.13E+01
1104.7,9.26E+01
1104.76,9.36E+01
1104.82,9.45E+01
1104.88,9.52E+01
1104.94,9.57E+01
1105,9.61E+01
1105.06,9.65E+01
1105.12,9.67E+01
1105.18,9.69E+01
1105.24,9.71E+01
1105.3,9.72E+01
1105.36,9.72E+01
1105.42,9.73E+01
1105.48,9.74E+01
1105.54,9.74E+01
1105.6,9.75E+01
1105.66,9.76E+01
1105.72,9.77E+01
1105.78,9.77E+01
1105.84,9.78E+01
1105.9,9.79E+01
1105.96,9.81E+01
1106.02,9.82E+01
1106.08,9.83E+01
1106.14,9.83E+01
1106.2,9.84E+01
1106.26,9.84E+01
1106.32,9.84E+01
1106.38,9.84E+01
1106.44,9.84E+01
1106.51,9.84E+01
1106.57,9.84E+01
1106.63,9.84E+01
1106.69,9.84E+01
1106.75,9.84E+01
1106.81,9.84E+01
1106.87,9.84E+01
1106.93,9.84E+01
1106.99,9.83E+01
1107.05,9.83E+01
1107.11,9.81E+01
1107.17,9.79E+01
1107.23,9.77E+01
1107.29,9.72E+01
1107.35,9.67E+01
1107.41,9.59E+01
1107.47,9.48E+01
1107.53,9.36E+01
1107.59,9.21E+01
1107.65,9.07E+01
1107.71,8.94E+01
1107.77,8.85E+01
1107.83,8.81E+01
1107.89,8.83E+01
1107.95,8.91E+01
1108.01,9.03E+01
1108.07,9.18E+01
1108.13,9.33E+01
1108.19,9.47E+01
1108.25,9.58E+01
1108.31,9.67E+01
1108.37,9.74E+01
1108.43,9.78E+01
1108.49,9.80E+01
1108.55,9.81E+01
1108.61,9.82E+01
1108.67,9.83E+01
1108.73,9.83E+01
1108.8,9.84E+01
1108.86,9.84E+01
1108.92,9.85E+01
1108.98,9.86E+01
1109.04,9.86E+01
1109.1,9.87E+01
1109.16,9.87E+01
1109.22,9.88E+01
1109.28,9.88E+01
1109.34,9.87E+01
1109.4,9.87E+01
1109.46,9.86E+01
1109.52,9.85E+01
1109.58,9.84E+01
1109.64,9.83E+01
1109.7,9.82E+01
1109.76,9.81E+01
1109.82,9.80E+01
1109.88,9.78E+01
1109.94,9.75E+01
1110,9.71E+01
1110.06,9.65E+01
1110.12,9.57E+01
1110.18,9.46E+01
1110.24,9.30E+01
1110.3,9.10E+01
1110.36,8.85E+01
1110.42,8.56E+01
1110.48,8.27E+01
1110.54,8.01E+01
1110.6,7.82E+01
1110.66,7.72E+01
1110.72,7.74E+01
1110.78,7.88E+01
1110.84,8.10E+01
1110.9,8.39E+01
1110.96,8.69E+01
1111.03,8.98E+01
1111.09,9.22E+01
1111.15,9.41E+01
1111.21,9.55E+01
1111.27,9.64E+01
1111.33,9.71E+01
1111.39,9.75E+01
1111.45,9.78E+01
1111.51,9.79E+01
1111.57,9.80E+01
1111.63,9.81E+01
1111.69,9.81E+01
1111.75,9.82E+01
1111.81,9.82E+01
1111.87,9.83E+01
1111.93,9.83E+01
1111.99,9.83E+01
1112.05,9.83E+01
1112.11,9.83E+01
1112.17,9.82E+01
1112.23,9.81E+01
1112.29,9.78E+01
1112.35,9.75E+01
1112.41,9.70E+01
1112.47,9.63E+01
1112.53,9.53E+01
1112.59,9.39E+01
1112.65,9.23E+01
1112.71,9.06E+01
1112.77,8.90E+01
1112.83,8.76E+01
1112.89,8.67E+01
1112.95,8.64E+01
1113.01,8.68E+01
1113.07,8.78E+01
1113.13,8.93E+01
1113.19,9.10E+01
1113.26,9.28E+01
1113.32,9.43E+01
1113.38,9.55E+01
1113.44,9.64E+01
1113.5,9.70E+01
1113.56,9.74E+01
1113.62,9.77E+01
1113.68,9.79E+01
1113.74,9.80E+01
1113.8,9.81E+01
1113.86,9.81E+01
1113.92,9.80E+01
1113.98,9.79E+01
1114.04,9.77E+01
1114.1,9.74E+01
1114.16,9.70E+01
1114.22,9.63E+01
1114.28,9.54E+01
1114.34,9.41E+01
1114.4,9.25E+01
1114.46,9.07E+01
1114.52,8.90E+01
1114.58,8.75E+01
1114.64,8.65E+01
1114.7,8.62E+01
1114.76,8.65E+01
1114.82,8.75E+01
1114.88,8.90E+01
1114.94,9.07E+01
1115,9.24E+01
1115.06,9.39E+01
1115.12,9.51E+01
1115.18,9.59E+01
1115.24,9.63E+01
1115.3,9.64E+01
1115.36,9.62E+01
1115.42,9.57E+01
1115.48,9.49E+01
1115.55,9.37E+01
1115.61,9.19E+01
1115.67,8.96E+01
1115.73,8.68E+01
1115.79,8.37E+01
1115.85,8.07E+01
1115.91,7.82E+01
1115.97,7.67E+01
1116.03,7.62E+01
1116.09,7.71E+01
1116.15,7.89E+01
1116.21,8.16E+01
1116.27,8.44E+01
1116.33,8.72E+01
1116.39,8.93E+01
1116.45,9.06E+01
1116.51,9.10E+01
1116.57,9.06E+01
1116.63,8.95E+01
1116.69,8.79E+01
1116.75,8.62E+01
1116.81,8.46E+01
1116.87,8.33E+01
1116.93,8.25E+01
1116.99,8.21E+01
1117.05,8.19E+01
1117.11,8.17E+01
1117.17,8.10E+01
1117.23,7.97E+01
1117.29,7.77E+01
1117.35,7.51E+01
1117.41,7.23E+01
1117.47,7.00E+01
1117.53,6.85E+01
1117.59,6.84E+01
1117.65,6.98E+01
1117.71,7.25E+01
1117.78,7.63E+01
1117.84,8.05E+01
1117.9,8.47E+01
1117.96,8.84E+01
1118.02,9.14E+01
1118.08,9.37E+01
1118.14,9.53E+01
1118.2,9.64E+01
1118.26,9.71E+01
1118.32,9.75E+01
1118.38,9.77E+01
1118.44,9.79E+01
1118.5,9.79E+01
1118.56,9.80E+01
1118.62,9.80E+01
1118.68,9.81E+01
1118.74,9.81E+01
1118.8,9.82E+01
1118.86,9.82E+01
1118.92,9.82E+01
1118.98,9.83E+01
1119.04,9.83E+01
1119.1,9.83E+01
1119.16,9.84E+01
1119.22,9.84E+01
1119.28,9.85E+01
1119.34,9.85E+01
1119.4,9.85E+01
1119.46,9.84E+01
1119.52,9.84E+01
1119.58,9.84E+01
1119.64,9.83E+01
1119.7,9.83E+01
1119.76,9.83E+01
1119.82,9.82E+01
1119.88,9.82E+01
1119.94,9.81E+01
1120,9.81E+01
1120.07,9.80E+01
1120.13,9.80E+01
1120.19,9.79E+01
1120.25,9.78E+01
1120.31,9.77E+01
1120.37,9.76E+01
1120.43,9.74E+01
1120.49,9.72E+01
1120.55,9.69E+01
1120.61,9.67E+01
1120.67,9.64E+01
1120.73,9.61E+01
1120.79,9.58E+01
1120.85,9.54E+01
1120.91,9.49E+01
1120.97,9.44E+01
1121.03,9.39E+01
1121.09,9.32E+01
1121.15,9.24E+01
1121.21,9.15E+01
1121.27,9.02E+01
1121.33,8.87E+01
1121.39,8.67E+01
1121.45,8.41E+01
1121.51,8.09E+01
1121.57,7.68E+01
1121.63,7.17E+01
1121.69,6.57E+01
1121.75,5.87E+01
1121.81,5.12E+01
1121.87,4.36E+01
1121.93,3.66E+01
1121.99,3.08E+01
1122.05,2.70E+01
1122.11,2.57E+01
1122.17,2.71E+01
1122.23,3.10E+01
1122.3,3.69E+01
1122.36,4.42E+01
1122.42,5.22E+01
1122.48,6.01E+01
1122.54,6.74E+01
1122.6,7.37E+01
1122.66,7.89E+01
1122.72,8.29E+01
1122.78,8.60E+01
1122.84,8.84E+01
1122.9,9.02E+01
1122.96,9.15E+01
1123.02,9.26E+01
1123.08,9.35E+01
1123.14,9.42E+01
1123.2,9.48E+01
1123.26,9.53E+01
1123.32,9.58E+01
1123.38,9.61E+01
1123.44,9.64E+01
1123.5,9.67E+01
1123.56,9.69E+01
1123.62,9.71E+01
1123.68,9.73E+01
1123.74,9.74E+01
1123.8,9.75E+01
1123.86,9.77E+01
1123.92,9.78E+01
1123.98,9.79E+01
1124.04,9.80E+01
1124.1,9.81E+01
1124.16,9.82E+01
1124.22,9.83E+01
1124.28,9.84E+01
1124.34,9.85E+01
1124.4,9.85E+01
1124.46,9.86E+01
1124.52,9.86E+01
1124.59,9.86E+01
1124.65,9.86E+01
1124.71,9.86E+01
1124.77,9.86E+01
1124.83,9.86E+01
1124.89,9.86E+01
1124.95,9.86E+01
1125.01,9.86E+01
1125.07,9.86E+01
1125.13,9.86E+01
1125.19,9.86E+01
1125.25,9.86E+01
1125.31,9.85E+01
1125.37,9.84E+01
1125.43,9.82E+01
1125.49,9.80E+01
1125.55,9.76E+01
1125.61,9.71E+01
1125.67,9.64E+01
1125.73,9.56E+01
1125.79,9.47E+01
1125.85,9.39E+01
1125.91,9.32E+01
1125.97,9.27E+01
1126.03,9.26E+01
1126.09,9.29E+01
1126.15,9.34E+01
1126.21,9.42E+01
1126.27,9.51E+01
1126.33,9.60E+01
1126.39,9.68E+01
1126.45,9.74E+01
1126.51,9.79E+01
1126.57,9.83E+01
1126.63,9.85E+01
1126.69,9.87E+01
1126.75,9.88E+01
1126.82,9.89E+01
1126.88,9.90E+01
1126.94,9.90E+01
1127,9.91E+01
1127.06,9.91E+01
1127.12,9.91E+01
1127.18,9.92E+01
1127.24,9.92E+01
1127.3,9.93E+01
1127.36,9.93E+01
1127.42,9.93E+01
1127.48,9.93E+01
1127.54,9.93E+01
1127.6,9.93E+01
1127.66,9.92E+01
1127.72,9.92E+01
1127.78,9.92E+01
1127.84,9.92E+01
1127.9,9.92E+01
1127.96,9.92E+01
1128.02,9.92E+01
1128.08,9.92E+01
1128.14,9.92E+01
1128.2,9.92E+01
1128.26,9.93E+01
1128.32,9.92E+01
1128.38,9.92E+01
1128.44,9.92E+01
1128.5,9.91E+01
1128.56,9.89E+01
1128.62,9.87E+01
1128.68,9.85E+01
1128.74,9.81E+01
1128.8,9.76E+01
1128.86,9.70E+01
1128.92,9.62E+01
1128.98,9.53E+01
1129.04,9.44E+01
1129.11,9.35E+01
1129.17,9.29E+01
1129.23,9.25E+01
1129.29,9.26E+01
1129.35,9.30E+01
1129.41,9.37E+01
1129.47,9.46E+01
1129.53,9.55E+01
1129.59,9.65E+01
1129.65,9.72E+01
1129.71,9.78E+01
1129.77,9.83E+01
1129.83,9.85E+01
1129.89,9.87E+01
1129.95,9.88E+01
1130.01,9.90E+01
1130.07,9.90E+01
1130.13,9.91E+01
1130.19,9.92E+01
1130.25,9.92E+01
1130.31,9.92E+01
1130.37,9.93E+01
1130.43,9.93E+01
1130.49,9.93E+01
1130.55,9.93E+01
1130.61,9.93E+01
1130.67,9.92E+01
1130.73,9.91E+01
1130.79,9.91E+01
1130.85,9.90E+01
1130.91,9.89E+01
1130.97,9.88E+01
1131.03,9.87E+01
1131.09,9.85E+01
1131.15,9.83E+01
1131.21,9.80E+01
1131.27,9.77E+01
1131.34,9.71E+01
1131.4,9.63E+01
1131.46,9.53E+01
1131.52,9.39E+01
1131.58,9.23E+01
1131.64,9.05E+01
1131.7,8.87E+01
1131.76,8.73E+01
1131.82,8.64E+01
1131.88,8.62E+01
1131.94,8.67E+01
1132,8.80E+01
1132.06,8.96E+01
1132.12,9.15E+01
1132.18,9.33E+01
1132.24,9.50E+01
1132.3,9.62E+01
1132.36,9.72E+01
1132.42,9.78E+01
1132.48,9.83E+01
1132.54,9.85E+01
1132.6,9.87E+01
1132.66,9.88E+01
1132.72,9.88E+01
1132.78,9.89E+01
1132.84,9.89E+01
1132.9,9.89E+01
1132.96,9.89E+01
1133.02,9.89E+01
1133.08,9.89E+01
1133.14,9.89E+01
1133.2,9.88E+01
1133.26,9.87E+01
1133.32,9.86E+01
1133.38,9.84E+01
1133.44,9.81E+01
1133.5,9.76E+01
1133.56,9.70E+01
1133.63,9.62E+01
1133.69,9.52E+01
1133.75,9.43E+01
1133.81,9.34E+01
1133.87,9.28E+01
1133.93,9.25E+01
1133.99,9.26E+01
1134.05,9.31E+01
1134.11,9.39E+01
1134.17,9.49E+01
1134.23,9.59E+01
1134.29,9.68E+01
1134.35,9.76E+01
1134.41,9.81E+01
1134.47,9.85E+01
1134.53,9.87E+01
1134.59,9.88E+01
1134.65,9.89E+01
1134.71,9.88E+01
1134.77,9.88E+01
1134.83,9.87E+01
1134.89,9.85E+01
1134.95,9.83E+01
1135.01,9.80E+01
1135.07,9.76E+01
1135.13,9.71E+01
1135.19,9.64E+01
1135.25,9.55E+01
1135.31,9.46E+01
1135.37,9.37E+01
1135.43,9.29E+01
1135.49,9.24E+01
1135.55,9.22E+01
1135.61,9.24E+01
1135.67,9.30E+01
1135.73,9.38E+01
1135.79,9.48E+01
1135.86,9.57E+01
1135.92,9.65E+01
1135.98,9.71E+01
1136.04,9.74E+01
1136.1,9.76E+01
1136.16,9.75E+01
1136.22,9.72E+01
1136.28,9.67E+01
1136.34,9.58E+01
1136.4,9.46E+01
1136.46,9.31E+01
1136.52,9.13E+01
1136.58,8.96E+01
1136.64,8.81E+01
1136.7,8.71E+01
1136.76,8.68E+01
1136.82,8.72E+01
1136.88,8.83E+01
1136.94,8.98E+01
1137,9.15E+01
1137.06,9.30E+01
1137.12,9.42E+01
1137.18,9.49E+01
1137.24,9.51E+01
1137.3,9.48E+01
1137.36,9.41E+01
1137.42,9.33E+01
1137.48,9.25E+01
1137.54,9.19E+01
1137.6,9.15E+01
1137.66,9.13E+01
1137.72,9.12E+01
1137.78,9.12E+01
1137.84,9.13E+01
1137.9,9.12E+01
1137.96,9.13E+01
1138.02,9.14E+01
1138.09,9.17E+01
1138.15,9.23E+01
1138.21,9.32E+01
1138.27,9.42E+01
1138.33,9.53E+01
1138.39,9.62E+01
1138.45,9.71E+01
1138.51,9.76E+01
1138.57,9.80E+01
1138.63,9.82E+01
1138.69,9.82E+01
1138.75,9.82E+01
1138.81,9.81E+01
1138.87,9.79E+01
1138.93,9.77E+01
1138.99,9.75E+01
1139.05,9.71E+01
1139.11,9.67E+01
1139.17,9.62E+01
1139.23,9.58E+01
1139.29,9.53E+01
1139.35,9.48E+01
1139.41,9.44E+01
1139.47,9.41E+01
1139.53,9.39E+01
1139.59,9.37E+01
1139.65,9.35E+01
1139.71,9.33E+01
1139.77,9.29E+01
1139.83,9.23E+01
1139.89,9.13E+01
1139.95,8.98E+01
1140.01,8.77E+01
1140.07,8.48E+01
1140.13,8.09E+01
1140.19,7.60E+01
1140.25,7.02E+01
1140.31,6.36E+01
1140.38,5.67E+01
1140.44,5.02E+01
1140.5,4.49E+01
1140.56,4.15E+01
1140.62,4.06E+01
1140.68,4.23E+01
1140.74,4.64E+01
1140.8,5.24E+01
1140.86,5.94E+01
1140.92,6.67E+01
1140.98,7.36E+01
1141.04,7.95E+01
1141.1,8.43E+01
1141.16,8.79E+01
1141.22,9.06E+01
1141.28,9.25E+01
1141.34,9.39E+01
1141.4,9.49E+01
1141.46,9.57E+01
1141.52,9.62E+01
1141.58,9.66E+01
1141.64,9.70E+01
1141.7,9.73E+01
1141.76,9.75E+01
1141.82,9.77E+01
1141.88,9.79E+01
1141.94,9.80E+01
1142,9.81E+01
1142.06,9.82E+01
1142.12,9.83E+01
1142.18,9.84E+01
1142.24,9.85E+01
1142.3,9.86E+01
1142.36,9.87E+01
1142.42,9.88E+01
1142.48,9.88E+01
1142.54,9.88E+01
1142.61,9.88E+01
1142.67,9.88E+01
1142.73,9.89E+01
1142.79,9.89E+01
1142.85,9.88E+01
1142.91,9.88E+01
1142.97,9.88E+01
1143.03,9.87E+01
1143.09,9.86E+01
1143.15,9.86E+01
1143.21,9.85E+01
1143.27,9.84E+01
1143.33,9.82E+01
1143.39,9.79E+01
1143.45,9.75E+01
1143.51,9.69E+01
1143.57,9.62E+01
1143.63,9.53E+01
1143.69,9.44E+01
1143.75,9.36E+01
1143.81,9.30E+01
1143.87,9.26E+01
1143.93,9.25E+01
1143.99,9.29E+01
1144.05,9.35E+01
1144.11,9.44E+01
1144.17,9.54E+01
1144.23,9.63E+01
1144.29,9.72E+01
1144.35,9.78E+01
1144.41,9.83E+01
1144.47,9.87E+01
1144.53,9.89E+01
1144.59,9.91E+01
1144.65,9.92E+01
1144.71,9.93E+01
1144.77,9.93E+01
1144.83,9.94E+01
1144.9,9.93E+01
1144.96,9.93E+01
1145.02,9.93E+01
1145.08,9.93E+01
1145.14,9.93E+01
1145.2,9.94E+01
1145.26,9.94E+01
1145.32,9.95E+01
1145.38,9.95E+01
1145.44,9.95E+01
1145.5,9.96E+01
1145.56,9.96E+01
1145.62,9.96E+01
1145.68,9.97E+01
1145.74,9.97E+01
1145.8,9.96E+01
1145.86,9.96E+01
1145.92,9.95E+01
1145.98,9.94E+01
1146.04,9.94E+01
1146.1,9.93E+01
1146.16,9.93E+01
1146.22,9.93E+01
1146.28,9.93E+01
1146.34,9.93E+01
1146.4,9.94E+01
1146.46,9.94E+01
